Date,Open Price,High Price,Low Price,Close Price,Prev Close Price,Total Traded Quantity,Total Traded Value,52 Week High Price,52 Week Low Price,VWAP,Deliverable Volume,Deliverable Percent,Series
2022-01-03,3750.0,3830.0,3745.0,3817.75,3738.35,2346158,8932827981.15,3989.9,2880.0,3807.43,1433211,61.09,EQ
2022-01-04,3831.1,3889.15,3811.7,3884.75,3817.75,2488606,9604274014.3,3989.9,2880.0,3859.3,1539134,61.85,EQ
2022-01-05,3865.0,3870.0,3812.4,3860.95,3884.75,1733031,6668131688.0,3989.9,2880.0,3847.67,988277,57.03,EQ
2022-01-06,3812.0,3835.0,3772.0,3807.45,3860.95,1810293,6884500149.55,3989.9,2880.0,3802.98,995325,54.98,EQ
2022-01-07,3820.0,3864.9,3796.4,3853.5,3807.45,2460591,9446283701.75,3989.9,2880.0,3839.03,1501620,61.03,EQ
2022-01-10,3978.0,3978.0,3861.0,3879.85,3853.5,3937092,15346166149.8,3989.9,2880.0,3897.84,1687823,42.87,EQ
2022-01-11,3856.0,3925.0,3856.0,3915.9,3879.85,1906106,7428014700.35,3989.9,2880.0,3896.96,1054450,55.32,EQ
2022-01-12,3925.0,3929.0,3836.55,3859.9,3915.9,3203744,12411815990.8,3989.9,2880.0,3874.16,1866561,58.26,EQ
2022-01-13,3918.0,3923.0,3857.0,3897.9,3859.9,6684507,26014258279.5,3989.9,2880.0,3891.72,3737081,55.91,EQ
2022-01-14,3877.85,3977.0,3860.05,3968.15,3897.9,3348123,13138881273.1,3989.9,2880.0,3924.25,1768475,52.82,EQ
2022-01-17,3992.7,4043.0,3962.3,4019.15,3968.15,3442604,13805980840.45,4043.0,2880.0,4010.33,1699919,49.38,EQ
2022-01-18,4033.95,4041.7,3980.0,3990.6,4019.15,2389041,9579619424.1,4043.0,2880.0,4009.82,1635845,68.47,EQ
2022-01-19,4012.0,4012.0,3910.5,3914.65,3990.6,3102539,12215195983.15,4043.0,2880.0,3937.16,2121306,68.37,EQ
2022-01-20,3910.0,3920.0,3811.0,3826.55,3914.65,6176776,23737557017.75,4043.0,2880.0,3843.03,4962139,80.34,EQ
2022-01-21,3807.0,3851.55,3771.1,3833.5,3826.55,3112358,11891026050.45,4043.0,2880.0,3820.58,1795708,57.7,EQ
2022-01-24,3840.0,3849.65,3740.1,3771.35,3833.5,3258414,12326830753.15,4043.0,2880.0,3783.08,2095906,64.32,EQ
2022-01-25,3769.5,3809.4,3722.2,3769.9,3771.35,3330501,12533182476.5,4043.0,2880.0,3763.15,2094835,62.9,EQ
2022-01-27,3731.0,3733.4,3625.1,3649.25,3769.9,5718297,20981028870.55,4043.0,2880.0,3669.1,3887598,67.99,EQ
2022-01-28,3646.0,3729.8,3646.0,3690.05,3649.25,3143862,11641524811.25,4043.0,2880.0,3702.94,1863034,59.26,EQ
2022-01-31,3749.0,3758.0,3721.4,3736.25,3690.05,2739393,10248148872.1,4043.0,2880.0,3741.03,1708467,62.37,EQ
2022-02-01,3770.0,3808.0,3736.4,3800.65,3736.25,2105169,7960578363.5,4043.0,2880.0,3781.44,1067316,50.7,EQ
