Date,Open,High,Low,Close,Volume,Adj Close
2007-05-08,70.03,70.55,69.56,70.25,9688200,41.41
2007-05-07,69.95,70.35,69.45,70.34,9066300,41.46
2007-05-04,70.14,70.95,69.90,70.19,11104800,41.37
2007-05-03,69.17,70.26,68.98,69.99,18584600,41.25
2007-05-02,69.21,69.67,68.70,69.42,12135900,40.92
2007-05-01,69.31,69.90,68.73,69.19,12722400,40.78
2007-04-30,69.65,70.74,69.13,69.35,14266200,40.87
2007-04-27,70.40,70.61,69.48,70.04,11577300,41.28
2007-04-26,69.78,71.00,69.78,70.73,12953900,41.69
2007-04-25,69.88,71.23,69.04,70.82,18387300,41.74
2007-04-24,70.14,70.62,69.40,69.64,14245900,41.05
2007-04-23,70.95,71.66,70.39,70.60,17301300,41.61
2007-04-20,70.05,71.32,69.37,71.25,16229200,41.99
2007-04-19,69.26,69.63,68.84,69.28,8786100,40.83
2007-04-18,69.93,70.09,69.47,69.84,10414400,41.16
2007-04-17,70.71,71.17,70.03,70.43,12064000,41.51
2007-04-16,70.76,70.82,69.86,70.60,10367200,41.61
2007-04-13,70.51,70.77,69.83,70.54,12914400,41.58
2007-04-12,69.69,70.59,69.04,70.49,15600700,41.55
2007-04-11,69.75,69.96,69.02,69.23,14216400,40.80
2007-04-10,68.68,69.80,68.68,69.45,15897200,40.93
2007-04-09,67.02,69.16,66.24,68.42,12707000,40.33
2007-04-05,67.68,68.36,67.35,67.96,9081200,40.06
2007-04-04,67.48,67.94,66.63,67.74,14998600,39.93
2007-04-03,67.64,68.33,67.20,67.84,13470600,39.98
2007-04-02,68.51,68.77,67.80,68.19,13252600,40.19
2007-03-30,68.78,69.08,68.00,68.35,14176000,40.29
2007-03-29,69.79,69.85,68.86,69.17,14241300,40.77
2007-03-28,69.92,70.49,67.60,69.24,15348700,40.81
2007-03-27,69.31,69.73,69.00,69.48,10996700,40.95
2007-03-26,69.51,70.03,68.97,69.56,13499900,41.00
2007-03-23,69.20,69.84,68.70,69.25,14397200,40.82
2007-03-22,67.47,69.34,67.47,68.68,21206100,40.48
2007-03-21,66.48,67.55,66.25,67.17,14972700,39.59
2007-03-20,65.91,66.41,64.97,66.31,16360700,39.08
2007-03-19,65.66,66.16,65.11,65.65,19416000,38.69
2007-03-16,66.51,66.64,65.18,65.34,18978800,38.51
2007-03-15,67.50,67.69,66.46,66.52,17054800,39.21
2007-03-14,66.94,67.95,65.87,67.91,20495500,40.03
2007-03-13,67.09,68.44,66.56,66.59,16996600,39.25
2007-03-12,67.00,67.73,66.80,67.24,14047400,39.63
2007-03-09,68.16,68.30,67.43,67.80,15994200,39.96
2007-03-08,67.80,68.14,67.23,67.57,13201700,39.83
2007-03-07,65.82,68.75,65.71,67.16,21467300,39.58
2007-03-06,65.03,65.96,64.89,65.82,12598800,38.79
2007-03-05,64.11,65.69,63.83,64.49,16213700,38.01
2007-03-02,65.69,65.99,64.51,64.93,14175000,38.27
2007-03-01,64.91,66.34,64.27,65.95,18910200,38.87
2007-02-28,65.50,66.44,64.65,65.32,18449100,38.50
2007-02-27,66.90,67.53,64.01,65.05,22189300,38.34
2007-02-26,67.59,68.44,67.46,67.96,10336200,40.06
2007-02-23,67.27,67.74,67.10,67.20,11579300,39.61
2007-02-22,66.29,66.97,65.60,66.88,11803600,39.42
2007-02-21,65.51,66.36,64.67,66.29,14115100,39.07
2007-02-20,65.61,65.65,65.02,65.58,9518600,38.65
2007-02-16,65.81,66.40,65.75,66.15,9262400,38.99
2007-02-15,67.08,67.09,65.77,66.16,13664400,38.99
2007-02-14,67.24,68.10,67.20,67.46,12464700,39.52
2007-02-13,66.15,67.35,66.15,67.27,12818400,39.41
2007-02-12,66.10,66.76,65.70,66.03,11896300,38.68
2007-02-09,67.00,67.33,66.53,66.99,12404900,39.24
2007-02-08,66.21,67.13,65.61,66.87,13042300,39.17
2007-02-07,66.84,66.94,65.77,66.23,13050800,38.80
2007-02-06,67.68,67.86,66.24,66.64,10935600,39.04
2007-02-05,67.40,67.77,66.88,67.04,8588400,39.27
2007-02-02,67.35,67.53,66.52,67.29,9122800,39.42
2007-02-01,66.70,67.42,66.34,67.31,18305500,39.43
2007-01-31,65.58,66.64,65.15,66.41,20985600,38.90
2007-01-30,64.93,65.83,64.75,65.65,14656900,38.46
2007-01-29,64.95,65.44,64.46,64.62,12873700,37.86
2007-01-26,64.46,65.11,64.09,64.77,11096300,37.94
2007-01-25,65.62,65.66,63.92,64.06,12395700,37.53
2007-01-24,65.00,65.82,64.45,65.62,16555300,38.44
2007-01-23,63.86,65.31,63.67,64.97,20757900,38.06
2007-01-22,64.40,64.57,63.13,63.38,17610700,37.13
2007-01-19,63.00,64.23,62.96,63.95,18354900,37.46
2007-01-18,64.05,64.40,62.42,62.61,20948500,36.68
2007-01-17,62.71,64.07,62.71,63.55,23623100,37.23
2007-01-16,63.88,64.27,62.50,62.81,22196100,36.79
2007-01-12,62.48,63.99,62.29,63.83,25158800,37.39
2007-01-11,63.50,64.44,61.59,61.82,43260600,36.22
2007-01-10,66.00,67.20,64.39,64.53,30872600,37.80
2007-01-09,67.00,67.65,66.41,66.51,26330200,38.96
2007-01-08,68.10,68.57,67.10,68.30,21997900,40.01
2007-01-05,66.70,67.65,66.07,67.42,21196800,39.50
2007-01-04,67.10,67.48,65.13,66.07,35752600,38.70
2007-01-03,71.30,71.50,67.90,68.19,27097900,39.95
