Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,59.89,59.94,59.69,59.76,4665300,56.21
2011-12-29,59.72,59.99,59.34,59.99,6332200,56.43
2011-12-28,59.77,59.94,59.63,59.73,5241700,56.18
2011-12-27,59.95,59.98,59.66,59.83,4866400,56.28
2011-12-23,59.32,60.00,59.14,59.99,6190600,56.43
2011-12-22,59.41,59.54,59.05,59.19,7901700,55.67
2011-12-21,59.19,59.66,59.16,59.39,8574500,55.86
2011-12-20,58.37,59.27,58.24,59.19,11067400,55.67
2011-12-19,58.30,58.57,57.61,57.78,7235400,54.35
2011-12-16,58.30,58.49,58.09,58.27,14913900,54.81
2011-12-15,57.83,58.40,57.83,57.95,8557400,54.51
2011-12-14,57.72,58.12,57.52,57.65,8984200,54.23
2011-12-13,58.13,58.35,57.42,57.60,10972100,54.18
2011-12-12,57.87,58.44,57.76,58.09,10037100,54.64
2011-12-09,58.16,58.49,57.47,58.32,10058900,54.86
2011-12-08,58.39,58.55,57.87,57.98,10350300,54.54
2011-12-07,58.35,59.20,58.26,58.51,15754600,55.03
2011-12-06,58.57,59.01,58.40,58.78,11401600,54.95
2011-12-05,58.26,58.51,58.00,58.34,10515200,54.53
2011-12-02,58.88,58.97,58.04,58.09,11199100,54.30
2011-12-01,58.64,59.15,58.46,58.61,8787300,54.79
2011-11-30,58.76,59.00,58.31,58.90,14845200,55.06
2011-11-29,57.34,58.30,57.34,58.17,10817200,54.38
2011-11-28,57.53,58.00,57.00,57.25,9288100,53.52
2011-11-25,56.69,57.33,56.69,56.89,4258800,53.18
2011-11-23,56.65,57.00,56.32,56.64,8260400,52.94
2011-11-22,56.56,57.13,56.50,56.85,7497300,53.14
2011-11-21,56.93,57.29,56.38,56.66,9932200,52.96
2011-11-18,57.03,57.36,56.61,57.23,8982300,53.50
2011-11-17,56.54,57.19,56.26,56.73,10223800,53.03
2011-11-16,57.10,57.42,56.64,56.68,11780800,52.98
2011-11-15,57.97,58.05,57.23,57.46,16005900,53.71
2011-11-14,58.81,58.98,58.36,58.89,10552100,55.05
2011-11-11,58.51,59.25,58.38,59.20,8397900,55.34
2011-11-10,58.33,58.49,57.51,58.13,9410000,54.34
2011-11-09,58.53,58.93,57.60,58.05,13946800,54.26
2011-11-08,58.02,59.40,57.85,59.32,20104300,55.45
2011-11-07,57.34,57.96,57.05,57.94,8520100,54.16
2011-11-04,57.08,57.50,56.90,57.50,7006100,53.75
2011-11-03,57.05,57.53,56.60,57.42,9575600,53.67
2011-11-02,56.77,57.19,56.54,56.86,8920300,53.15
2011-11-01,55.82,56.74,55.68,56.23,13788100,52.56
2011-10-31,56.58,57.29,56.58,56.72,9480900,53.02
2011-10-28,57.85,57.87,56.96,57.15,11292800,53.42
2011-10-27,57.80,57.96,57.45,57.81,15325500,54.04
2011-10-26,57.10,57.44,56.60,57.37,12724700,53.63
2011-10-25,56.66,57.15,56.55,56.71,10104300,53.01
2011-10-24,56.88,57.00,56.60,56.78,9279500,53.08
2011-10-21,56.74,57.42,56.65,56.92,14498600,53.21
2011-10-20,56.20,56.88,56.05,56.37,12645800,52.69
2011-10-19,55.71,56.43,55.70,56.25,12985200,52.58
2011-10-18,54.94,56.19,54.81,55.89,14070400,52.24
2011-10-17,54.79,55.46,54.48,54.78,8970200,51.21
2011-10-14,55.28,55.47,54.63,55.46,10706000,51.84
2011-10-13,55.04,55.31,54.72,55.02,10501100,51.43
2011-10-12,55.05,56.39,55.00,55.20,22097300,51.60
2011-10-11,54.78,54.79,54.39,54.72,10213500,51.15
2011-10-10,54.19,55.18,54.19,54.81,12188400,51.23
2011-10-07,53.08,54.03,52.90,53.70,13912900,50.20
2011-10-06,52.74,52.90,52.33,52.75,10021200,49.31
2011-10-05,52.70,53.25,52.13,52.65,13604500,49.22
2011-10-04,51.74,52.98,51.63,52.88,18697500,49.43
2011-10-03,51.88,52.92,51.85,51.96,15500200,48.57
2011-09-30,51.85,52.59,51.71,51.90,13619300,48.51
2011-09-29,51.81,52.40,51.32,51.93,10344400,48.54
2011-09-28,52.12,52.42,51.29,51.31,11460200,47.96
2011-09-27,52.36,52.86,51.80,52.03,11492500,48.64
2011-09-26,50.94,51.85,50.80,51.83,11360600,48.45
2011-09-23,50.18,50.96,50.03,50.80,12703000,47.49
