Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,82.98,83.33,82.54,82.94,3009500,82.36
2013-12-30,82.71,83.09,82.68,82.91,2006900,82.33
2013-12-27,82.74,83.11,82.46,82.71,2361300,82.13
2013-12-26,82.14,82.45,82.01,82.45,1799000,81.87
2013-12-24,82.06,82.21,81.80,82.04,1115400,81.46
2013-12-23,82.34,82.38,81.45,81.86,3718700,81.28
2013-12-20,81.55,82.10,81.47,81.81,7496100,81.24
2013-12-19,81.28,81.79,81.02,81.66,4075700,81.09
2013-12-18,80.58,81.61,79.96,81.42,7416900,80.85
2013-12-17,81.05,81.25,80.35,80.46,8210200,79.89
2013-12-16,81.06,81.30,80.60,81.00,4245600,80.43
2013-12-13,81.53,81.84,80.85,80.93,3798300,80.36
2013-12-12,82.56,82.65,80.97,81.28,6327400,80.71
2013-12-11,82.32,83.07,82.32,82.67,6606300,82.09
2013-12-10,82.45,82.81,82.11,82.40,4888900,81.82
2013-12-09,82.92,83.20,82.36,82.69,5371700,82.11
2013-12-06,82.52,83.25,82.24,83.15,4841200,82.57
2013-12-05,82.41,82.59,81.89,81.90,5321600,81.32
2013-12-04,83.02,83.02,82.11,82.65,6819800,82.07
2013-12-03,83.53,83.96,83.33,83.80,5767500,82.65
2013-12-02,84.43,84.52,83.54,83.70,4495900,82.55
2013-11-29,84.62,84.88,84.20,84.46,2698100,83.30
2013-11-27,84.51,84.60,84.07,84.42,3611600,83.26
2013-11-26,85.40,85.75,84.38,84.39,4633800,83.23
2013-11-25,85.81,86.12,85.24,85.37,2536200,84.20
2013-11-22,85.56,85.80,85.11,85.74,3380100,84.56
2013-11-21,85.79,85.92,85.22,85.62,3137000,84.44
2013-11-20,85.48,86.09,84.98,85.13,4471100,83.96
2013-11-19,85.61,85.81,84.93,85.29,4026200,84.12
2013-11-18,86.02,86.18,85.40,85.86,4157500,84.68
2013-11-15,86.33,86.58,85.56,86.03,3324000,84.85
2013-11-14,85.98,86.63,85.88,86.39,2897300,85.20
2013-11-13,85.47,86.01,85.19,85.95,3228400,84.77
2013-11-12,85.41,85.68,85.03,85.64,4561000,84.46
2013-11-11,85.75,86.12,85.26,85.45,4309200,84.27
2013-11-08,85.29,85.88,84.32,85.85,5208100,84.67
2013-11-07,86.57,86.68,85.09,85.30,5870000,84.13
2013-11-06,84.95,86.73,84.67,86.68,6017100,85.49
2013-11-05,84.06,84.91,83.83,84.62,3207600,83.46
2013-11-04,84.62,84.99,84.14,84.37,3572800,83.21
2013-11-01,84.15,84.69,83.84,84.56,4170000,83.40
2013-10-31,84.65,84.90,84.09,84.09,4572200,82.93
2013-10-30,85.47,85.49,84.61,84.72,3556100,83.55
2013-10-29,84.75,85.50,84.50,85.49,4349400,84.31
2013-10-28,83.36,84.71,83.23,84.61,5402000,83.45
2013-10-25,82.55,83.37,82.44,83.35,4065100,82.20
2013-10-24,83.41,83.41,82.54,82.54,5510800,81.40
2013-10-23,83.27,83.44,82.79,83.33,4665200,82.18
2013-10-22,82.45,83.73,82.30,83.44,5125900,82.29
2013-10-21,82.97,82.97,82.19,82.37,3997400,81.24
2013-10-18,82.65,83.01,82.23,83.01,6371200,81.87
2013-10-17,82.05,82.62,81.63,82.58,4469200,81.44
2013-10-16,82.00,82.40,81.38,82.27,7383200,81.14
2013-10-15,81.17,81.53,80.40,80.60,5427700,79.49
2013-10-14,80.45,81.12,80.34,81.09,3642800,79.97
2013-10-11,80.73,81.09,80.45,80.83,4111000,79.72
2013-10-10,79.96,80.69,79.81,80.69,4663300,79.58
2013-10-09,79.11,80.19,78.87,79.50,5298600,78.41
2013-10-08,79.29,79.35,78.86,78.93,5526500,77.84
2013-10-07,79.25,79.59,78.96,79.06,4867100,77.97
2013-10-04,79.58,79.93,79.13,79.62,2841500,78.52
2013-10-03,79.57,79.91,79.29,79.44,3987600,78.35
2013-10-02,79.53,79.58,78.67,79.56,5448300,78.47
2013-10-01,79.38,79.82,79.02,79.82,4135500,78.72
2013-09-30,79.86,79.92,79.25,79.50,5231400,78.41
2013-09-27,80.36,80.68,79.90,80.20,3429200,79.10
2013-09-26,80.28,80.57,79.85,80.54,3941600,79.43
