Date,Open,High,Low,Close,Volume,Adj Close
2007-09-14,186.95,191.00,185.59,190.59,9337600,176.58
2007-09-13,183.75,196.04,183.72,188.47,11292300,174.62
2007-09-12,183.14,184.25,181.70,182.53,7737700,169.11
2007-09-11,185.50,187.00,182.50,183.50,11334500,170.01
2007-09-10,180.50,186.07,178.50,183.61,12989300,170.11
2007-09-07,176.60,181.05,175.00,178.98,15144300,165.82
2007-09-06,178.50,179.71,175.36,179.18,9250600,166.01
2007-09-05,179.68,179.79,176.90,177.81,8987600,164.74
2007-09-04,176.18,183.70,176.18,180.80,10161800,167.51
2007-08-31,175.65,178.10,173.87,176.01,11023700,163.07
2007-08-30,169.96,173.43,169.79,171.38,9559600,158.78
2007-08-29,172.38,174.45,167.92,173.72,12797500,160.95
2007-08-28,175.01,176.13,170.25,170.95,11610600,158.38
2007-08-27,179.33,180.05,177.26,177.95,6664000,164.87
2007-08-24,176.77,180.26,175.60,179.73,8935300,166.52
2007-08-23,179.79,180.88,175.92,177.50,10549400,164.45
2007-08-22,177.52,180.05,174.29,177.89,13427000,164.81
2007-08-21,172.50,177.30,170.00,175.48,11796100,162.58
2007-08-20,176.02,176.39,170.12,172.76,13174400,160.06
2007-08-17,178.12,180.86,170.50,175.00,26741100,162.14
2007-08-16,163.10,171.41,157.38,169.85,31328800,157.36
2007-08-15,169.00,173.52,163.83,164.90,22268000,152.78
2007-08-14,178.60,178.78,169.00,169.75,26255900,157.27
2007-08-13,185.01,187.25,176.61,177.50,15296400,164.45
2007-08-10,178.65,184.41,175.57,180.50,20278700,167.23
2007-08-09,186.16,190.65,180.79,182.25,20868400,168.85
2007-08-08,192.04,198.50,188.76,193.30,20622000,179.09
2007-08-07,186.58,194.64,185.39,191.25,22763100,177.19
2007-08-06,179.20,187.86,175.00,187.79,18867300,173.99
2007-08-03,185.41,186.84,179.68,179.68,19828300,166.47
2007-08-02,189.15,192.48,185.00,187.46,13133400,173.68
2007-08-01,187.03,189.10,182.85,189.00,16284300,175.11
2007-07-31,198.55,198.99,187.25,188.34,14744900,174.49
2007-07-30,194.52,197.60,192.45,195.74,12195100,181.35
2007-07-27,194.67,196.84,190.51,192.65,17054700,178.49
2007-07-26,198.00,199.89,189.00,195.12,22690900,180.45
2007-07-25,199.80,203.75,197.78,203.16,13933200,187.89
2007-07-24,202.63,204.56,196.77,198.15,12344500,183.25
2007-07-23,207.16,207.88,204.07,205.04,7760400,189.63
2007-07-20,211.17,211.97,204.79,205.94,14540900,190.46
2007-07-19,217.08,217.50,210.03,211.69,9461900,195.78
2007-07-18,216.03,218.52,212.34,214.99,11664000,198.83
2007-07-17,221.74,222.12,218.65,219.40,5582200,202.91
2007-07-16,221.87,223.45,219.46,220.40,4654500,203.83
2007-07-13,220.06,222.82,219.20,222.18,5605300,205.48
2007-07-12,218.47,220.29,216.72,220.29,6072900,203.73
2007-07-11,216.98,219.00,214.65,216.72,8924700,200.43
2007-07-10,220.99,222.70,216.52,217.08,7960500,200.76
2007-07-09,223.02,225.77,222.51,223.30,3998900,206.51
2007-07-06,220.76,224.22,220.70,223.64,4122400,206.83
2007-07-05,224.29,224.29,221.20,221.32,5385600,204.68
2007-07-03,220.34,224.90,219.99,224.55,4676800,207.67
2007-07-02,217.50,219.65,216.00,219.18,5019900,202.70
2007-06-29,219.55,220.44,213.69,216.75,7853800,200.46
2007-06-28,219.75,221.47,217.67,218.96,5980200,202.50
2007-06-27,214.00,219.80,212.56,219.33,9018600,202.84
2007-06-26,217.70,219.36,214.17,214.17,9711500,198.07
2007-06-25,221.11,223.17,215.05,216.74,11566700,200.45
2007-06-22,226.50,226.79,220.27,222.40,9778800,205.68
2007-06-21,225.98,226.90,222.20,226.90,8340800,209.84
2007-06-20,229.75,230.33,225.72,225.89,5831400,208.91
2007-06-19,226.16,229.57,225.49,229.47,4580200,212.22
2007-06-18,226.55,227.54,224.80,226.97,4370200,209.91
2007-06-15,227.33,228.47,226.00,226.19,7430400,209.19
2007-06-14,227.71,229.30,225.01,225.75,14381600,208.78
2007-06-13,229.00,233.64,228.00,233.64,7359000,216.08
2007-06-12,226.90,231.12,225.58,227.85,7474500,210.72
2007-06-11,225.60,227.57,224.13,227.16,4285600,210.08
2007-06-08,220.10,225.07,218.75,225.06,5903000,208.14
2007-06-07,226.29,227.42,219.34,220.05,8363600,203.51
2007-06-06,227.77,227.94,224.85,227.35,4411400,210.26
2007-06-05,229.36,230.33,228.25,229.36,3676600,212.12
2007-06-04,230.00,230.65,227.94,229.71,3411600,212.44
2007-06-01,232.08,232.89,229.59,230.71,4093200,213.37
2007-05-31,232.21,233.97,230.09,230.82,4578100,213.47
2007-05-30,226.25,232.00,225.60,232.00,5393000,214.56
2007-05-29,226.25,228.90,226.03,228.44,3734700,211.27
2007-05-25,226.81,226.95,224.19,225.53,4068800,208.58
2007-05-24,229.37,230.75,225.05,225.68,6211000,208.71
2007-05-23,231.70,232.41,228.43,228.54,4276600,211.36
2007-05-22,229.79,231.66,228.75,230.71,3568400,213.37
2007-05-21,230.65,231.69,228.56,229.23,7778600,212.00
2007-05-18,228.55,231.22,227.95,230.34,6726900,213.02
2007-05-17,226.75,227.93,225.25,227.38,4185200,210.29
2007-05-16,225.59,227.96,224.52,227.11,5161400,210.04
2007-05-15,226.19,228.33,224.26,224.38,5771800,207.51
2007-05-14,228.03,229.00,225.35,226.18,4761900,209.18
2007-05-11,223.91,227.55,223.60,227.50,4956100,210.40
2007-05-10,225.50,226.98,222.95,223.10,4963100,206.33
2007-05-09,224.95,227.68,223.35,226.57,5195100,209.54
2007-05-08,225.92,225.99,222.96,224.95,4879700,208.04
2007-05-07,227.00,229.90,225.60,227.22,4637000,210.14
2007-05-04,222.60,227.34,221.43,227.34,5632300,210.25
2007-05-03,220.39,221.93,218.55,221.56,4414600,204.90
2007-05-02,218.00,221.92,217.45,219.49,4859500,202.99
2007-05-01,219.08,219.91,215.35,218.58,6295500,202.15
2007-04-30,224.36,224.98,218.48,218.61,5484500,202.18
2007-04-27,224.05,225.71,222.99,224.28,3597400,207.42
2007-04-26,225.90,226.61,224.17,224.81,4730800,207.91
2007-04-25,221.90,226.05,220.10,225.60,7627000,208.64
2007-04-24,222.75,223.24,218.71,220.72,6724800,204.13
2007-04-23,221.00,223.98,220.48,222.42,5816300,205.70
2007-04-20,221.23,222.19,218.37,220.00,7393900,203.46
2007-04-19,215.34,221.71,214.80,219.29,8880000,202.48
2007-04-18,214.10,218.54,213.97,216.75,6077200,200.14
2007-04-17,215.15,216.87,213.54,214.90,6064400,198.43
2007-04-16,208.24,215.23,208.12,214.52,10003000,198.08
2007-04-13,207.95,207.95,205.61,206.50,4320400,190.67
2007-04-12,206.25,207.52,205.39,207.05,3946200,191.18
2007-04-11,208.70,208.87,206.61,206.93,5550400,191.07
2007-04-10,208.30,209.81,208.21,209.05,3002700,193.03
2007-04-09,208.57,209.87,207.45,208.94,3610500,192.92
2007-04-05,208.50,208.50,207.41,207.93,3010800,191.99
2007-04-04,209.45,209.95,208.21,208.79,4141600,192.79
2007-04-03,207.00,209.75,206.47,209.75,5015300,193.67
2007-04-02,207.67,207.68,203.29,205.65,5797000,189.89
2007-03-30,207.44,209.03,204.70,206.63,5177000,190.79
2007-03-29,208.09,208.89,206.30,207.20,6380800,191.32
2007-03-28,208.21,208.67,206.19,206.76,7991200,190.91
2007-03-27,211.01,211.73,209.74,209.87,4806100,193.78
2007-03-26,212.01,212.22,209.30,211.73,6525100,195.50
2007-03-23,210.06,211.89,209.71,211.89,5106800,195.65
2007-03-22,211.70,211.75,209.29,210.08,8016100,193.98
2007-03-21,205.34,211.51,204.16,210.95,10934100,194.78
2007-03-20,202.49,204.43,202.00,204.00,6641900,188.36
2007-03-19,201.32,202.50,200.44,202.44,8186200,186.92
2007-03-16,200.79,201.05,198.27,199.00,10875200,183.75
2007-03-15,200.00,202.37,199.50,200.89,9741600,185.49
2007-03-14,200.00,202.16,197.54,200.15,20394300,184.81
2007-03-13,204.96,208.56,198.52,199.03,31973100,183.77
2007-03-12,200.00,202.89,198.86,202.60,9623200,187.07
2007-03-09,202.95,202.99,198.86,201.70,7676900,186.24
2007-03-08,198.03,202.02,198.00,199.94,10789400,184.61
2007-03-07,197.48,199.00,195.50,195.59,8459500,180.60
2007-03-06,193.90,198.20,193.70,197.37,10796300,182.24
2007-03-05,193.55,197.49,189.85,190.00,13391800,175.44
2007-03-02,198.20,200.92,195.59,195.67,9842200,180.67
2007-03-01,197.12,202.70,194.08,199.66,14141300,184.36
2007-02-28,200.40,203.85,197.79,201.75,15940000,186.29
2007-02-27,209.75,210.40,194.65,196.00,18817600,180.98
2007-02-26,217.99,218.37,212.66,214.00,5552700,197.60
2007-02-23,219.16,219.80,215.55,216.50,5507400,199.91
2007-02-22,221.00,222.75,218.00,218.97,4273400,202.19
2007-02-21,219.25,221.50,218.16,220.15,5225500,203.28
2007-02-20,218.33,221.90,215.97,220.94,6225500,204.01
2007-02-16,215.96,217.50,215.02,216.92,3118500,200.29
2007-02-15,217.94,218.84,216.41,216.82,3627200,200.20
2007-02-14,213.70,219.10,212.79,217.40,7696400,200.74
2007-02-13,211.98,213.30,210.47,212.53,4022000,196.24
2007-02-12,213.75,214.00,209.87,211.13,5384400,194.95
2007-02-09,215.77,219.26,210.58,213.28,9109300,196.93
2007-02-08,212.09,215.21,209.81,213.90,5410500,197.50
2007-02-07,215.03,215.85,213.10,213.55,3621700,197.18
2007-02-06,213.29,215.86,212.70,214.65,3803100,198.20
2007-02-05,213.30,213.72,211.50,212.55,2995700,196.26
2007-02-02,211.00,213.90,211.00,213.43,3527000,197.07
2007-02-01,213.44,213.90,209.73,212.00,5734500,195.75
2007-01-31,208.30,212.75,207.29,212.16,7235100,195.90
2007-01-30,211.08,212.31,208.37,208.78,6001000,192.78
2007-01-29,213.90,215.08,210.13,211.04,5890700,194.86
2007-01-26,214.56,214.90,210.60,213.50,7458200,197.14
2007-01-25,219.83,220.51,212.51,213.07,7853800,196.74
2007-01-24,213.51,220.17,213.03,220.10,6386800,203.23
2007-01-23,212.82,213.42,210.65,212.64,6293400,196.34
2007-01-22,211.09,213.25,209.60,212.97,4980700,196.65
2007-01-19,209.08,211.44,208.84,210.29,5333700,194.17
2007-01-18,213.75,214.81,209.10,209.68,6423200,193.29
2007-01-17,212.20,214.09,210.85,213.23,5306300,196.56
2007-01-16,210.85,215.13,210.85,213.59,5846600,196.89
2007-01-12,210.90,214.22,210.40,213.99,6618900,197.26
2007-01-11,208.34,213.17,207.60,211.88,9039400,195.31
2007-01-10,203.40,208.44,201.50,208.11,8025700,191.84
2007-01-09,203.54,204.90,202.00,204.08,7147100,188.12
2007-01-08,199.05,203.95,198.10,203.73,7851000,187.80
2007-01-05,198.43,200.00,197.90,199.05,5892900,183.49
2007-01-04,200.22,200.67,198.07,198.85,6460200,183.30
2007-01-03,200.60,203.32,197.82,200.72,6494900,185.03
